datetime,score,is_last
00:57 2021/08/11,2634,0
01:08 2021/08/11,2619,0
01:21 2021/08/11,2633,0
01:36 2021/08/11,2626,0
01:54 2021/08/11,2617,0
02:07 2021/08/11,2603,0
02:20 2021/08/11,2589,0
02:44 2021/08/11,2603,0
03:12 2021/08/11,2588,0
03:24 2021/08/11,2602,0
22:46 2021/08/11,2583,0
22:57 2021/08/11,2565,0
23:09 2021/08/11,2565,0
23:39 2021/08/11,2573,0
23:49 2021/08/11,2555,0
00:04 2021/08/12,2544,0
00:20 2021/08/12,2531,0
00:32 2021/08/12,2516,0
00:44 2021/08/12,2527,0
00:55 2021/08/12,2539,0
01:06 2021/08/12,2531,0
01:21 2021/08/12,2540,0
23:26 2021/08/12,2528,0
23:43 2021/08/12,2543,0
23:54 2021/08/12,2556,0
00:05 2021/08/13,2566,0
00:16 2021/08/13,2557,0
00:31 2021/08/13,2564,0
01:18 2021/08/13,2551,0
01:30 2021/08/13,2533,0
01:44 2021/08/13,2518,0
01:55 2021/08/13,2530,0
02:18 2021/08/13,2500,0
02:30 2021/08/13,2514,0
02:42 2021/08/13,2528,0
02:59 2021/08/13,2514,1
00:22 2021/08/14,2517,0
00:36 2021/08/14,2530,0
01:18 2021/08/14,2540,0
01:30 2021/08/14,2530,0
01:41 2021/08/14,2544,0
01:54 2021/08/14,2561,0
02:08 2021/08/14,2548,0
02:23 2021/08/14,2539,0
02:39 2021/08/14,2528,0
03:06 2021/08/14,2530,0
03:33 2021/08/14,2548,0
03:45 2021/08/14,2533,0
03:58 2021/08/14,2518,1
23:35 2021/08/14,2532,0
23:48 2021/08/14,2547,0
23:59 2021/08/14,2533,0
00:13 2021/08/15,2540,0
00:25 2021/08/15,2547,0
00:38 2021/08/15,2534,0
00:48 2021/08/15,2543,0
01:46 2021/08/15,2560,0
01:59 2021/08/15,2544,0
02:13 2021/08/15,2526,0
02:30 2021/08/15,2511,0
02:43 2021/08/15,2526,0
02:53 2021/08/15,2541,0
03:05 2021/08/15,2554,0
03:15 2021/08/15,2541,0
03:30 2021/08/15,2556,0
03:52 2021/08/15,2572,0
04:04 2021/08/15,2556,1
09:43 2021/08/15,2542,0
10:00 2021/08/15,2556,0
10:12 2021/08/15,2564,0
02:35 2021/08/16,2560,0
00:09 2021/08/18,2551,0
00:20 2021/08/18,2564,0
00:16 2021/08/19,2579,0
00:31 2021/08/19,2564,0
01:03 2021/08/19,2574,0
01:19 2021/08/19,2591,0
01:49 2021/08/19,2582,0
02:13 2021/08/19,2565,0
02:28 2021/08/19,2550,0
02:41 2021/08/19,2563,1
22:03 2021/08/19,2533,0
22:19 2021/08/19,2541,0
22:29 2021/08/19,2554,0
22:40 2021/08/19,2567,0
23:15 2021/08/19,2555,0
00:15 2021/08/20,2592,0
00:28 2021/08/20,2581,0
00:42 2021/08/20,2594,0
00:53 2021/08/20,2608,0
01:06 2021/08/20,2593,0
01:17 2021/08/20,2600,0
23:35 2021/08/20,2611,0
23:46 2021/08/20,2594,0
23:57 2021/08/20,2611,0
00:10 2021/08/21,2620,0
00:44 2021/08/21,2614,0
01:17 2021/08/21,2625,0
01:25 2021/08/21,2625,0
01:51 2021/08/21,2654,0
02:02 2021/08/21,2663,0
02:15 2021/08/21,2675,0
02:27 2021/08/21,2660,0
21:34 2021/08/22,2562,0
21:46 2021/08/22,2553,0
21:59 2021/08/22,2538,0
22:23 2021/08/22,2568,0
22:39 2021/08/22,2557,0
22:51 2021/08/22,2542,0
23:05 2021/08/22,2542,0
23:23 2021/08/22,2570,0
23:37 2021/08/22,2583,0
23:51 2021/08/22,2570,0
00:02 2021/08/23,2555,0
00:13 2021/08/23,2564,0
00:23 2021/08/23,2577,0
00:37 2021/08/23,2589,0
00:50 2021/08/23,2603,0
01:06 2021/08/24,2616,0
